,ID,label,tanggal,judul,narasi,nama file gambar,databersih
0,73720.0,1,31/07/2015,Ahok izinkan Natalan di Monas - tapi larang pengajian di Monas,"MARI KITA TOLAK. 25 desember acara pastur di monas. majlis dilarang di monas, tapi kenapa kegiatan natal di perbolehkan di monas? sedangkan gubernur jakarta beralasan monas tidak boleh dipakai acara masal dan ke agamaan tapi kenapa acara pastur diperbolehkan? apakah ini adil? MARI KITA DEMO TANGGAL 25 APRIL MENDATANG!!!!!!",73720.jpg,mari tolak desember acara pastur monas majlis larang monas tapi giat natal monas gubernur jakarta alas monas acara masal agama tapi acara pastur adil mari demo tanggal april
1,499700.0,1,08/09/2015,Jokowi dituduh memasukkan ribuan tenaga kerja asing ke Indonesia via sebuah proyek PLTU,Pak Jokowi itu menjadi walikota periode pertama di Solo kalau tidak salah mulai tahun 2005 s/d 2010.,499700.jpg,jokowi walikota periode solo salah  2005   2010 
2,376817.0,1,12/09/2015,"Jokowi dituduh bodoh, salah cara dalam bersalaman dengan Raja Saudi.","hehe, selalu bisa tersenyum melihat tingkah laku pak Jokowi. terimakasih pak sudah menghibur kami ditengah meleahnya rupiah dinegeri ini",376817.jpg,hehe senyum lihat tingkah laku jokowi terimakasih hibur meleahnya rupiah negeri
3,8176.0,1,15/09/2015,Larangan anti-miras di Minimarket ditiadakan oleh rezim Jokowi paska Gobel,"Pada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah.",8176.jpg,april menteri dagang rachmat gobel laku bijak larang jual minum alkohol alias minum keras minimarket indonesia larang tuang atur menteri dagang permendag nomor m-dag  2015  kendali awas hadap edar jual minum alkohol
4,712690.0,1,15/09/2015,Foto Raja Salman Mengangkat Tandu Jenazah Korban Crane,"Raja Salman dari arab saudi membawa orang-orang yang sudah meninggal karena crane bermalam di makka dua hari yangh lalu, pada bahu ke tanah pemakaman.",712690.png,raja salman arab saudi bawa tinggal crane malam makka yangh bahu tanah makam
5,688112.0,1,18/09/2015,"Dituduh PKI Bangkit di Pamekasan, Jokowi Dicaci Maki","PAS KAMPANYE ada warning dugaan PKI bangkit di Era Jokowi. Kubu sebelah pun menyebut itu fitnah, hoax, ghibah, black campaign, dan sebagainya.",688112.jpg,pas kampanye warning duga pki bangkit era jokowi kubu belah fitnah hoax ghibah black campaign
6,475119.0,1,21/09/2015,Ahok Melarang Kurban,"Jadi Hok, mendingan lo tidur aje, ngga usah ngeluarin instuksi-instruksi segala apalagi mengeluarkan instruksi seperti Kementerian Kesehatan Arab Saudi menyatakan melarang menyembelih qurban unta selama musim haji karena khawatir bahaya yang ditimbulkan virus pernapasan mematikan (MERS-CoV) di Timur Tengah.",475119.jpg,hok mending tidur aje ngga ngeluarin instuksi-instruksi instruksi menteri sehat arab saudi nyata larang sembelih qurban unta musim haji bahaya timbul virus napas mati mers-cov timur
7,180206.0,1,22/09/2015,Jokowi Hendak Minta Maaf kepada PKI/Keluarga PKI,Jokowi Mau Minta Maaf pada eks PKI. Apakah Ini Another TEST THE WATER???,180206.png,jokowi maaf eks pki another test water
8,122854.0,0,30/09/2015,Bisnis Penjualan Fanpage,Bisnis Penjualan Fanpage,122854.jpg,bisnis jual fanpage
9,139237.0,1,03/10/2015,: Munculnya Bara Api di Yaman,Munculnya Bara Api di Yaman,139237.jpg,muncul bara api yaman
